"Country or Area","Year","Unit","Value","Value Footnotes"
"Albania","2006","Metric tons","546.6",""
"Albania","2006","Mil. USD","1.3241134388182",""
"Albania","2005","Metric tons","1878.5",""
"Albania","2005","Mil. USD","4.8442852430353",""
"Albania","2004","Metric tons","751.9",""
"Albania","2004","Mil. USD","2.51702540511709",""
"Algeria","2015","Metric tons","7483",""
"Algeria","2014","Metric tons","7648",""
"Algeria","2013","Metric tons","8241",""
"Algeria","2012","Metric tons","8130",""
"Algeria","2011","Metric tons","8612",""
"Algeria","2010","Metric tons","8273",""
"Algeria","2009","Metric tons","8068",""
"Algeria","2008","Metric tons","7103",""
"Algeria","2007","Metric tons","7734",""
"Algeria","2006","Metric tons","7357",""
"Algeria","2005","Metric tons","6985",""
"Algeria","2004","Metric tons","6976",""
"Algeria","2003","Metric tons","7153.4",""
"Algeria","2002","Metric tons","7099.6",""
"Algeria","2001","Metric tons","7063.2",""
"Algeria","2000","Metric tons","8145.8",""
"Algeria","1999","Metric tons","8326",""
"Algeria","1998","Metric tons","8497.5",""
"Algeria","1997","Metric tons","8382.3",""
"Algeria","1996","Metric tons","8307.1",""
"Algeria","1995","Metric tons","7803.6",""
"Australia","1995","Metric tons","23083","1"
"Austria","2016","Metric tons","0","2"
"Austria","2016","Mil. USD","0","2"
"Azerbaijan","2016","Metric tons","1946.9",""
"Azerbaijan","2016","Mil. USD","7.45744132394455",""
"Azerbaijan","2015","Metric tons","1691.5",""
"Azerbaijan","2015","Mil. USD","6.92977818300258",""
"Azerbaijan","2014","Metric tons","2430.2",""
"Azerbaijan","2014","Mil. USD","9.81707725211083",""
"Azerbaijan","2013","Metric tons","2112",""
"Azerbaijan","2013","Mil. USD","7.137930923502",""
"Azerbaijan","2012","Metric tons","1963.6",""
"Azerbaijan","2012","Mil. USD","6.49147849979159",""
"Azerbaijan","2011","Metric tons","2558.7",""
"Azerbaijan","2011","Mil. USD","8.73764592992586",""
"Azerbaijan","2010","Metric tons","2027",""
"Azerbaijan","2010","Mil. USD","6.1048096140369",""
"Azerbaijan","2009","Metric tons","1543",""
"Azerbaijan","2009","Mil. USD","3.7323490990524",""
"Azerbaijan","2008","Metric tons","1479.2",""
"Azerbaijan","2008","Mil. USD","2.79934906518504",""
"Azerbaijan","2007","Metric tons","1038.8",""
